Index,Season,Episode,Title,Airdate,Teleplay,Story,Director,Stardate,URL
0,1,1,Encounter at Farpoint I,9/28/1987,"0,1","0,1",2,41153.7,http://en.memory-alpha.org/wiki/Encounter_at_Farpoint_(episode)
1,1,2,Encounter at Farpoint II,9/28/1987,"0,1","0,1",2,41153.7,http://en.memory-alpha.org/wiki/Encounter_at_Farpoint_(episode)
2,1,3,The Naked Now,10/5/1987,4,"3,4",5,41209.2,http://en.memory-alpha.org/wiki/The_Naked_Now_(episode)
3,1,4,Code of Honor,10/12/1987,"6,7","6,7","8,9",41235.25,http://en.memory-alpha.org/wiki/Code_of_Honor_(episode)
4,1,5,The Last Outpost,10/19/1987,10,11,12,41386.4,http://en.memory-alpha.org/wiki/The_Last_Outpost_(episode)
5,1,6,Where No One Has Gone Before,10/26/1987,"13,14","13,14",15,41263.1,http://en.memory-alpha.org/wiki/Where_No_One_Has_Gone_Before_(episode)
6,1,7,Lonely Among Us,11/2/1987,1,16,17,41249.3,http://en.memory-alpha.org/wiki/Lonely_Among_Us_(episode)
7,1,8,Justice,11/9/1987,18,"18,19",20,41255.6,http://en.memory-alpha.org/wiki/Justice_(episode)
8,1,9,The Battle,11/16/1987,10,21,15,41723.9,http://en.memory-alpha.org/wiki/The_Battle_(episode)
9,1,10,Hide and Q,11/23/1987,"0,22",22,17,41590.5,http://en.memory-alpha.org/wiki/Hide_and_Q_(episode)
10,1,11,Haven,11/30/1987,23,"23,24",25,41294.5,http://en.memory-alpha.org/wiki/Haven_(episode)
11,1,12,The Big Goodbye,1/11/1988,23,23,26,41997.7,http://en.memory-alpha.org/wiki/The_Big_Goodbye_(episode)
12,1,13,Datalore,1/18/1988,"0,27","27,28",15,41242.4,http://en.memory-alpha.org/wiki/Datalore_(episode)
13,1,14,Angel One,1/25/1988,29,29,30,41636.9,http://en.memory-alpha.org/wiki/Angel_One_(episode)
14,1,15,11001001,2/1/1988,"27,28","27,28",5,41365.9,http://en.memory-alpha.org/wiki/11001001_(episode)
15,1,16,Too Short a Season,2/8/1988,"1,31",31,15,41309.5,http://en.memory-alpha.org/wiki/Too_Short_a_Season_(episode)
16,1,17,When the Bough Breaks,2/15/1988,32,32,33,41509.1,http://en.memory-alpha.org/wiki/When_The_Bough_Breaks_(episode)
17,1,18,Home Soil,2/22/1988,34,"34,35,36",2,41463.9,http://en.memory-alpha.org/wiki/Home_Soil_(episode)
18,1,19,Coming of Age,3/14/1988,"32,37","32,37",38,41461.2,http://en.memory-alpha.org/wiki/Coming_of_Age_(episode)
19,1,20,Heart of Glory,3/21/1988,28,"1,10,28",15,41503.7,http://en.memory-alpha.org/wiki/Heart_of_Glory_(episode)
20,1,21,The Arsenal of Freedom,4/11/1988,"39,40","27,28",9,41798.2,http://en.memory-alpha.org/wiki/The_Arsenal_of_Freedom_(episode)
21,1,22,Symbiosis,4/18/1988,"27,39,40",27,41,,http://en.memory-alpha.org/wiki/The_Arsenal_of_Freedom_(episode)
22,1,23,Skin of Evil,4/25/1988,"32,42",42,26,41601.3,http://en.memory-alpha.org/wiki/Skin_of_Evil_(episode)
23,1,24,We'll Always Have Paris,5/2/1988,"32,43","32,43",44,41697.9,http://en.memory-alpha.org/wiki/We%27ll_Always_Have_Paris_(episode)
24,1,25,Conspiracy,5/9/1988,23,34,17,41775.5,http://en.memory-alpha.org/wiki/Conspiracy_(episode)
25,1,26,The Neutral Zone,5/16/1988,28,"45,46",20,41986,http://en.memory-alpha.org/wiki/The_Neutral_Zone_(episode)
26,2,1,The Child,11/21/1988,"47,48,28","47,48,28",15,42073.1,http://en.memory-alpha.org/wiki/The_Child_(episode)
27,2,2,Where Silence Has Lease,11/28/1988,49,49,50,42193.6,http://en.memory-alpha.org/wiki/Where_Silence_Has_Lease_(episode)
28,2,3,"Elementary, Dear Data",12/5/1988,51,51,15,42286.3,"http://en.memory-alpha.org/wiki/Elementary,_Dear_Data_(episode)"
29,2,4,The Outrageous Okona,12/12/1988,52,"53,54,55",56,42402.7,http://en.memory-alpha.org/wiki/The_Outrageous_Okona_(episode)
30,2,5,Loud As A Whisper,1/9/1989,57,57,58,42477.2,http://en.memory-alpha.org/wiki/Loud_As_A_Whisper_(episode)
31,2,6,The Schizoid Man,1/23/1989,23,"39,40",9,42437.5,http://en.memory-alpha.org/wiki/The_Schizoid_Man_(episode)
32,2,7,Unnatural Selection,1/30/1989,"59,60","59,60",5,42494.8,http://en.memory-alpha.org/wiki/Unnatural_Selection_(episode)
33,2,8,A Matter of Honor,2/6/1989,52,"61,62,52",15,42506.6,http://en.memory-alpha.org/wiki/A_Matter_Of_Honor_(episode)
34,2,9,The Measure of a Man,2/13/1989,63,63,64,42523.7,http://en.memory-alpha.org/wiki/The_Measure_Of_A_Man_(episode)
35,2,10,The Dauphin,2/20/1989,"65,66","65,66",15,42568.8,http://en.memory-alpha.org/wiki/The_Dauphin_(episode)
36,2,11,Contagion,3/20/1989,"67,68","67,68",26,42609.1,http://en.memory-alpha.org/wiki/Contagion_(episode)
37,2,12,The Royale,3/27/1989,69,69,17,42625.4,http://en.memory-alpha.org/wiki/The_Royale_(episode)
38,2,13,Time Squared,4/3/1989,28,70,26,42679.2,http://en.memory-alpha.org/wiki/Time_Squared_(episode)
39,2,14,The Icarus Factor,4/24/1989,"71,72",71,73,42686.4,http://en.memory-alpha.org/wiki/The_Icarus_Factor_(episode)
40,2,15,Pen Pals,5/1/1989,64,32,50,42695.3,http://en.memory-alpha.org/wiki/Pen_Pals_(episode)
41,2,16,Q Who,5/8/1989,28,28,15,42761.3,http://en.memory-alpha.org/wiki/Q_Who_(episode)
42,2,17,Samaritan Snare,5/15/1989,72,72,9,42779.1,http://en.memory-alpha.org/wiki/Samaritan_Snare_(episode)
43,2,18,Up the Long Ladder,5/22/1989,63,63,50,42823.2,http://en.memory-alpha.org/wiki/Up_The_Long_Ladder_(episode)
44,2,19,Manhunt,6/19/1989,74,74,15,42859.2,http://en.memory-alpha.org/wiki/Manhunt_(episode)
45,2,20,The Emissary,6/29/1989,"39,40","39,40,75",17,42901.3,http://en.memory-alpha.org/wiki/The_Emissary_(episode)
46,2,21,Peak Performance,7/10/1989,76,76,64,42923.4,http://en.memory-alpha.org/wiki/Peak_Performance_(episode)
47,2,22,Shades of Gray,7/17/1989,"28,39,40",28,15,42976.1,http://en.memory-alpha.org/wiki/Shades_of_Gray_(episode)
48,3,1,Evolution,9/25/1989,77,"77,78",50,43125.8,http://en.memory-alpha.org/wiki/Evolution_(episode)
49,3,2,The Ensigns of Command,10/2/1989,63,63,17,,http://en.memory-alpha.org/wiki/The_Ensigns_of_Command_(episode)
50,3,3,The Survivors,10/9/1989,78,78,9,43152.4,http://en.memory-alpha.org/wiki/The_Survivors_(episode)
51,3,4,Who Watches the Watchers,10/16/1989,"39,40","39,40",79,43173.5,http://en.memory-alpha.org/wiki/Who_Watches_The_Watchers_(episode)
52,3,5,The Bonding,10/23/1989,80,80,50,43198.7,http://en.memory-alpha.org/wiki/The_Bonding_(episode)
53,3,6,Booby Trap,10/30/1989,"81,77,82","78,81",83,43205.6,http://en.memory-alpha.org/wiki/Booby_Trap_(episode)
54,3,7,The Enemy,11/6/1989,"76,77","76,77",84,43349.2,http://en.memory-alpha.org/wiki/The_Enemy_(episode)
55,3,8,The Price,11/13/1989,32,32,64,43385.6,http://en.memory-alpha.org/wiki/The_Price_(episode)
56,3,9,The Vengeance Factor,11/20/1989,85,85,86,43421.9,http://en.memory-alpha.org/wiki/The_Vengeance_Factor_(episode)
57,3,10,The Defector,1/1/1990,80,80,64,43462.5,http://en.memory-alpha.org/wiki/The_Defector_(episode)
58,3,11,The Hunted,1/8/1990,87,87,17,43489.2,http://en.memory-alpha.org/wiki/The_Hunted_(episode)
59,3,12,The High Ground,1/29/1990,63,63,83,43510.7,http://en.memory-alpha.org/wiki/The_High_Ground_(episode)
60,3,13,Deja Q,2/5/1990,82,82,9,43539.1,http://en.memory-alpha.org/wiki/Deja_Q_(episode)
61,3,14,A Matter of Perspective,2/12/1990,88,88,17,43610.4,http://en.memory-alpha.org/wiki/A_Matter_of_Perspective_(episode)
62,3,15,Yesterday's Enterprise,2/19/1990,"89,39,40,80","90,91",84,43625.2,http://en.memory-alpha.org/wiki/Yesterday%27s_Enterprise_(episode)
63,3,16,The Offspring,3/12/1990,92,92,93,43657,http://en.memory-alpha.org/wiki/The_Offspring_(episode)
64,3,17,Sins of the Father,3/19/1990,"80,94",95,9,43685.2,http://en.memory-alpha.org/wiki/Sins_of_the_Father_(episode)
65,3,18,Allegiance,3/26/1990,"39,40","39,40",50,43714.1,http://en.memory-alpha.org/wiki/Allegiance_(episode)
66,3,19,Captain's Holiday,4/2/1990,89,89,96,43745.2,http://en.memory-alpha.org/wiki/Vash
67,3,20,Tin Man,4/23/1990,"97,98","97,98",64,43779.3,http://en.memory-alpha.org/wiki/Tin_Man_(episode)
68,3,21,Hollow Pursuits,4/30/1990,99,99,17,43807.4,http://en.memory-alpha.org/wiki/Hollow_Pursuits_(episode)
69,3,22,The Most Toys,5/7/1990,100,100,86,43872.2,http://en.memory-alpha.org/wiki/The_Most_Toys_(episode)
70,3,23,Sarek,5/14/1990,101,"101,102,103",9,43917.4,http://en.memory-alpha.org/wiki/Sarek_(episode)
71,3,24,Ménage à Troi,5/28/1990,"104,105","104,105",106,43930.7,http://en.memory-alpha.org/wiki/M%C3%A9nage_%C3%A0_Troi_(episode)
72,3,25,Transfigurations,6/4/1990,92,92,107,43957.2,http://en.memory-alpha.org/wiki/Transfigurations_(episode)
73,3,26,The Best of Both Worlds,6/18/1990,77,77,17,43989.1,http://en.memory-alpha.org/wiki/The_Best_of_Both_Worlds_(episode)
74,4,1,"The Best of Both Worlds, Part II",9/24/1990,77,77,17,44001.4,"http://en.memory-alpha.org/wiki/The_Best_of_Both_Worlds,_Part_II_(episode)"
75,4,2,Family,10/1/1990,80,80,9,44012.3,http://en.memory-alpha.org/wiki/Family_(episode)
76,4,3,Brothers,10/8/1990,108,108,15,44085.7,http://en.memory-alpha.org/wiki/Brothers_(episode)
77,4,4,Suddenly Human,10/15/1990,"109,110",111,83,44143.7,http://en.memory-alpha.org/wiki/Suddenly_Human_(episode)
78,4,5,Remember Me,10/22/1990,112,112,17,44161.2,http://en.memory-alpha.org/wiki/Remember_Me_(episode)
79,4,6,Legacy,10/29/1990,113,113,64,44215.2,http://en.memory-alpha.org/wiki/Legacy_(episode)
80,4,7,Reunion,11/5/1990,"114,115,80,116","95,114,115",93,44246.3,http://en.memory-alpha.org/wiki/Reunion_(episode)
81,4,8,Future Imperfect,11/12/1990,"117,118","117,118",9,44286.5,http://en.memory-alpha.org/wiki/Future_Imperfect_(episode)
82,4,9,Final Mission,11/19/1990,"119,110",119,2,44307.3,http://en.memory-alpha.org/wiki/Final_Mission_(episode)
83,4,10,The Loss,12/31/1990,"120,121,122",120,96,44356.9,http://en.memory-alpha.org/wiki/The_Loss_(episode)
84,4,11,Data's Day,1/7/1991,"123,80",123,79,44390.1,http://en.memory-alpha.org/wiki/Data%27s_Day_(episode)
85,4,12,The Wounded,1/28/1991,110,"124,125,126",96,44429.6,http://en.memory-alpha.org/wiki/The_Wounded_(episode)
86,4,13,Devil's Due,2/4/1991,127,"127,128",107,44474.5,http://en.memory-alpha.org/wiki/Devil%27s_Due_(episode)
87,4,14,Clues,2/11/1991,"129,113",129,9,44502.7,http://en.memory-alpha.org/wiki/Clues_(episode)
88,4,15,First Contact,2/18/1991,"97,98,113,80,77",130,17,,http://en.memory-alpha.org/wiki/First_Contact_(episode)
89,4,16,Galaxy's Child,3/11/1991,28,131,50,44614.6,http://en.memory-alpha.org/wiki/Galaxy%27s_Child_(episode)
90,4,17,Night Terrors,3/18/1991,"110,132",100,9,44631.2,http://en.memory-alpha.org/wiki/Night_Terrors_(episode)
91,4,18,Identity Crisis,3/25/1991,116,133,50,44664.5,http://en.memory-alpha.org/wiki/Identity_Crisis_(episode)
92,4,19,The Nth Degree,4/1/1991,113,113,106,44704.2,http://en.memory-alpha.org/wiki/The_Nth_Degree_(episode)
93,4,20,Qpid,4/22/1991,89,"134,89",17,44741.9,http://en.memory-alpha.org/wiki/Qpid_(episode)
94,4,21,The Drumhead,4/29/1991,110,110,93,44769.2,http://en.memory-alpha.org/wiki/The_Drumhead_(episode)
95,4,22,Half a Life,5/6/1991,135,"136,135",9,44805.3,http://en.memory-alpha.org/wiki/Half_a_Life_(episode)
96,4,23,The Host,5/13/1991,137,137,138,44821.3,http://en.memory-alpha.org/wiki/The_Host_(episode)
97,4,24,The Mind's Eye,5/27/1991,92,"129,92",140,44885.5,http://en.memory-alpha.org/wiki/The_Mind%27s_Eye_(episode)
98,4,25,In Theory,6/3/1991,"113,80","113,80",141,44932.3,http://en.memory-alpha.org/wiki/In_Theory_(episode)
99,4,26,Redemption,6/17/1991,80,80,17,44995.3,http://en.memory-alpha.org/wiki/Redemption_(episode)
100,5,1,Redemption II,9/23/1991,80,80,84,45020.4,http://en.memory-alpha.org/wiki/Redemption_II_(episode)
101,5,2,Darmok,9/30/1991,113,"127,113",50,45047.2,http://en.memory-alpha.org/wiki/Darmok_(episode)
102,5,3,Ensign Ro,10/7/1991,77,"108,77",9,45076.3,http://en.memory-alpha.org/wiki/Ensign_Ro_(episode)
103,5,4,Silicon Avatar,10/14/1991,110,142,17,45122.3,http://en.memory-alpha.org/wiki/Silicon_Avatar_(episode)
104,5,5,Disaster,10/21/1991,80,"143,144",83,45156.1,http://en.memory-alpha.org/wiki/Disaster_(episode)
105,5,6,The Game,10/28/1991,116,"105,104,116",2,45208.2,http://en.memory-alpha.org/wiki/The_Game_(episode)
106,5,7,Unification I,11/4/1991,110,"108,77",9,45233.1,http://en.memory-alpha.org/wiki/Unification_I_(episode)
107,5,8,Unification II,11/11/1991,77,"108,77",17,45245.8,http://en.memory-alpha.org/wiki/Unification_II_(episode)
108,5,9,A Matter of Time,11/18/1991,108,108,5,45349.1,http://en.memory-alpha.org/wiki/A_Matter_of_Time_(episode)
109,5,10,New Ground,1/6/1992,145,"125,124",64,45376.3,http://en.memory-alpha.org/wiki/New_Ground_(episode)
110,5,11,Hero Worship,1/27/1992,113,120,141,45397.3,http://en.memory-alpha.org/wiki/Hero_Worship_(episode)
111,5,12,Violations,2/3/1992,"146,110","100,147,146",79,45429.3,http://en.memory-alpha.org/wiki/Violations_(episode)
112,5,13,The Masterpiece Society,2/10/1992,"148,77","149,148",50,45470.1,http://en.memory-alpha.org/wiki/The_Masterpiece_Society_(episode)
113,5,14,Conundrum,2/17/1992,150,151,9,45494.2,http://en.memory-alpha.org/wiki/Conundrum_(episode)
114,5,15,Power Play,2/24/1992,"152,10,116","153,28",140,45571.2,http://en.memory-alpha.org/wiki/Power_Play_%28episode%29
115,5,16,Ethics,3/2/1992,80,"125,124",96,45587.3,http://en.memory-alpha.org/wiki/Ethics_(episode)
116,5,17,The Outcast,3/16/1992,110,110,64,45614.6,http://en.memory-alpha.org/wiki/The_Outcast_(episode)
117,5,18,Cause and Effect,3/23/1992,116,116,93,45652.1,http://en.memory-alpha.org/wiki/Cause_and_Effect_(episode)
118,5,19,The First Duty,3/30/1992,"80,154","80,154",5,45703.9,http://en.memory-alpha.org/wiki/The_First_Duty_(episode)
119,5,20,Cost of Living,4/20/1992,135,135,50,45733.6,http://en.memory-alpha.org/wiki/Cost_of_Living_(episode)
120,5,21,The Perfect Mate,4/27/1992,"155,77","92,155",17,45761.3,http://en.memory-alpha.org/wiki/The_Perfect_Mate_(episode)
121,5,22,Imaginary Friend,5/4/1992,"156,116","157,158,159",83,45832.1,http://en.memory-alpha.org/wiki/Imaginary_Friend_(episode)
122,5,23,"I, Borg",5/11/1992,92,92,160,45854.2,http://en.memory-alpha.org/wiki/I_Borg_(episode)
123,5,24,The Next Phase,5/18/1992,80,80,84,45892.4,http://en.memory-alpha.org/wiki/The_Next_Phase_(episode)
124,5,25,The Inner Light,6/1/1992,"161,135",161,162,45944.1,http://en.memory-alpha.org/wiki/The_Inner_Light_(episode)
125,5,26,Time's Arrow,6/15/1992,"113,77",113,9,45959.1,http://en.memory-alpha.org/wiki/Time%27s_Arrow_(episode)
126,6,1,Time's Arrow II,9/21/1992,110,113,9,46001.3,"http://en.memory-alpha.org/wiki/Time%27s_Arrow,_Part_II_(episode)"
127,6,2,Realm of Fear,9/28/1992,116,116,17,46041.1,http://en.memory-alpha.org/wiki/Realm_of_Fear_(episode)
128,6,3,Man of the People,10/5/1992,163,163,50,46071.6,http://en.memory-alpha.org/wiki/Man_of_the_People_(episode)
129,6,4,Relics,10/12/1992,80,80,164,46125.3,http://en.memory-alpha.org/wiki/Relics_(episode)
130,6,5,Schisms,10/19/1992,116,157,158,46154.2,http://en.memory-alpha.org/wiki/Schisms_(episode)
131,6,6,True Q,10/26/1992,92,92,64,46192.3,http://en.memory-alpha.org/wiki/True_Q_(episode)
132,6,7,Rascals,11/2/1992,165,"166,167,77",168,46235.7,http://en.memory-alpha.org/wiki/Rascals_(episode)
133,6,8,A Fistful of Datas,11/9/1992,"169,116",169,141,46271.5,http://en.memory-alpha.org/wiki/A_Fistful_of_Datas_(episode)
134,6,9,The Quality of Life,11/16/1992,154,154,93,46307.2,http://en.memory-alpha.org/wiki/The_Quality_of_Life_(episode)
135,6,10,"Chain of Command, Part I",12/14/1992,80,163,64,46357.4,"http://en.memory-alpha.org/wiki/Chain_of_Command,_Part_I_(episode)"
136,6,11,"Chain of Command, Part II",12/21/1992,163,163,9,46360.8,"http://en.memory-alpha.org/wiki/Chain_of_Command,_Part_II_(episode)"
137,6,12,Ship in a Bottle,1/25/1993,92,92,164,46424.1,http://en.memory-alpha.org/wiki/Ship_in_a_Bottle_(episode)
138,6,13,Aquiel,2/1/1993,"116,80",110,17,46461.3,http://en.memory-alpha.org/wiki/Aquiel_(episode)
139,6,14,Face of the Enemy,2/8/1993,154,92,83,46519.1,http://en.memory-alpha.org/wiki/Face_of_the_Enemy_(episode)
140,6,15,Tapestry,2/15/1993,80,80,9,,http://en.memory-alpha.org/wiki/Tapestry_(episode)
141,6,16,"Birthright, Part I",2/22/1993,116,116,50,46578.4,"http://en.memory-alpha.org/wiki/Birthright,_Part_I_(episode)"
142,6,17,"Birthright, Part II",3/1/1993,92,92,170,46579.2,"http://en.memory-alpha.org/wiki/Birthright,_Part_II_(episode)"
143,6,18,Starship Mine,3/29/1993,161,161,17,46682.4,http://en.memory-alpha.org/wiki/Starship_Mine_(episode)
144,6,19,Lessons,4/5/1993,"158,157","158,157",79,46693.1,http://en.memory-alpha.org/wiki/Lessons_(episode)
145,6,20,The Chase,4/26/1993,113,"80,113",93,46731.5,http://en.memory-alpha.org/wiki/The_Chase_(episode)
146,6,21,Frame of Mind,5/3/1993,116,116,20,46778.1,http://en.memory-alpha.org/wiki/Frame_of_Mind_(episode)
147,6,22,Suspicions,5/10/1993,"113,154","113,154",17,46830.1,http://en.memory-alpha.org/wiki/Suspicions_(episode)
148,6,23,Rightful Heir,5/17/1993,80,171,50,46852.2,http://en.memory-alpha.org/wiki/Rightful_Heir_(episode)
149,6,24,Second Chances,5/24/1993,92,172,173,46915.2,http://en.memory-alpha.org/wiki/Second_Chances_(episode)
150,6,25,Timescape,6/14/1993,116,116,168,46944.2,http://en.memory-alpha.org/wiki/Timescape_(episode)
151,6,26,Descent,6/21/1993,80,110,164,46982.1,http://en.memory-alpha.org/wiki/Descent_(episode)
152,7,1,"Descent, Part II",9/20/1993,92,92,164,47025.4,"http://en.memory-alpha.org/wiki/Descent,_Part_II_(episode)"
153,7,2,Liaisons,9/27/1993,"174,175","176,177",17,,http://en.memory-alpha.org/wiki/Liaisons_(episode)
154,7,3,Interface,10/4/1993,113,113,79,47215.5,http://en.memory-alpha.org/wiki/Interface_(episode)
155,7,4,"Gambit, Part I",10/11/1993,154,"178,154",162,47135.2,"http://en.memory-alpha.org/wiki/Gambit,_Part_I_(episode)"
156,7,5,"Gambit, Part II",10/18/1993,80,154,164,47160.1,"http://en.memory-alpha.org/wiki/Gambit,_Part_II_(episode)"
157,7,6,Phantasms,10/25/1993,116,116,141,47225.7,http://en.memory-alpha.org/wiki/Phantasms_(episode)
158,7,7,Dark Page,11/1/1993,120,120,9,47254.1,http://en.memory-alpha.org/wiki/Dark_Page_(episode)
159,7,8,Attached,11/8/1993,179,179,93,47304.2,http://en.memory-alpha.org/wiki/Attached_(episode)
160,7,9,Force of Nature,11/15/1993,154,154,160,47310.2,http://en.memory-alpha.org/wiki/Force_of_Nature_(episode)
161,7,10,Inheritance,11/22/1993,"180,92",180,64,47410.2,http://en.memory-alpha.org/wiki/Inheritance_(episode)
162,7,11,Parallels,11/29/1993,116,116,79,47391.2,http://en.memory-alpha.org/wiki/Parallels_(episode)
163,7,12,The Pegasus,1/10/1994,80,80,173,47457.1,http://en.memory-alpha.org/wiki/The_Pegasus_(episode)
164,7,13,Homeward,1/17/1994,154,181,164,47423.9,http://en.memory-alpha.org/wiki/Homeward_(episode)
165,7,14,Sub Rosa,1/31/1994,116,"110,182",93,,http://en.memory-alpha.org/wiki/Sub_Rosa_(episode)
166,7,15,Lower Decks,2/7/1994,92,"158,157",83,47566.7,http://en.memory-alpha.org/wiki/Lower_Decks_(episode)
167,7,16,Thine Own Self,2/14/1994,80,178,50,47611.2,http://en.memory-alpha.org/wiki/Thine_Own_Self_(episode)
168,7,17,Masks,2/21/1994,113,113,79,47615.2,http://en.memory-alpha.org/wiki/Masks_(episode)
169,7,18,Eye of the Beholder,2/28/1994,92,116,17,47622.1,http://en.memory-alpha.org/wiki/Eye_of_the_Beholder_(episode)
170,7,19,Genesis,3/21/1994,116,116,183,47653.2,http://en.memory-alpha.org/wiki/Genesis_(episode)
171,7,20,Journey's End,3/28/1994,80,80,2,47751.2,http://en.memory-alpha.org/wiki/Journey%27s_End_(episode)
172,7,21,Firstborn,4/25/1994,92,184,185,47779.4,http://en.memory-alpha.org/wiki/Firstborn_(episode)
173,7,22,Bloodlines,5/2/1994,179,179,9,47829.1,http://en.memory-alpha.org/wiki/Bloodlines_(episode)
174,7,23,Emergence,5/9/1994,113,116,17,47869.2,http://en.memory-alpha.org/wiki/Emergence_(episode)
175,7,24,Preemptive Strike,5/16/1994,92,154,141,47941.7,http://en.memory-alpha.org/wiki/Preemptive_Strike_(episode)
176,7,25,All Good Things...,5/23/1994,"80,116","80,116",50,47988,http://en.memory-alpha.org/wiki/All_Good_Things..._(episode)