Index,Name
0,Gene Roddenberry
1,D.C. Fontana
2,Corey Allen
3,John D.F. Black
4,J. Michael Bingham
5,Paul Lynch
6,Katharyn Powers
7,Michael Baron
8,Russ Mayberry
9,Les Landau
10,Herbert Wright
11,Richard Krzemien
12,Richard Colla
13,Diane Duane
14,Michael Reaves
15,Rob Bowman
16,Michael Halperin
17,Cliff Bole
18,Worley Thorne
19,Ralph Wills
20,James L. Conway
21,Larry Forrester
22,C.J. Holland
23,Tracy Torme
24,Lan O'Kun
25,Richard Compton
26,Joseph L. Scanlan
27,Robert Lewin
28,Maurice Hurley
29,Patrick Barry
30,Michael Rhodes
31,Michael Michaelian
32,Hannah Lousie Shearer
33,Kim Manners
34,Robert Sabaroff
35,Karl Guers
36,Ralph Sanchez
37,Sandy Fries
38,Mike Vejar
39,Richard Manning
40,Hans Beimler
41,Win Phelps
42,Joseph Stefano
43,Deborah Dean Davis
44,Robert Becker
45,Deborah McIntyre
46,Mona Clee
47,Jaron Summers
48,Jon Povill
49,Jack B. Sowards
50,Winrich Kolbe
51,Brian Alan Lane
52,Burton Armus
53,Les Menchen
54,Lance Dickson
55,David Landsberg
56,Robert Becker
57,Joseph Zambrano
58,Larry Shaw
59,John Mason
60,Mike Gray
61,Wanda M. Haight
62,Gregory Amos
63,Melinda M. Snodgrass
64,Robert Scheerer
65,Scott Rubenstein
66,Leonard Mlodinow
67,Steve Gerber
68,Beth Woods
69,Keith Mills
70,Kurt Michael Bensmiller
71,David Assael
72,Robert L. McCullough
73,Robert Iscove
74,Terry Devereaux
75,Thomas H. Calder
76,David Kemper
77,Michael Piller
78,Michael Wagner
79,Robert Wiemer
80,Ronald D. Moore
81,Ron Roman
82,Richard Danus
83,Gabrielle Beaumont
84,David Carson
85,Sam Rolfe
86,Timothy Bond
87,Robin Bernheim
88,Ed Zuckerman
89,Ira Steven Behr
90,Trent Christopher Ganino
91,Eric A. Stillwell
92,René Echevarria
93,Jonathan Frakes
94,W. Reed Moran
95,Drew Deighan
96,Chip Chalmers
97,Dennis Putnam Bailey
98,David Bischoff
99,Sally Caves
100,Shari Goodhartz
101,Peter S. Beagle
102,Marc Cushman
103,Jake Jacobs
104,Fred Bronson
105,Susan Sackett
106,Robert Legato
107,Tom Benko
108,Rick Berman
109,John Whelpley
110,Jeri Taylor
111,Ralph Phillips
112,Lee Sheldon
113,Joe Menosky
114,Thomas Perry
115,Jo Perry
116,Brannon Braga
117,J. Larry Carroll
118,David Bennett Carren
119,Kacey Arnold-Ince
120,Hilary J. Bader
121,Alan J. Adler
122,Vanessa Greene
123,Harold Apter
124,Stuart Charno
125,Sara Charno
126,Cy Chermak
127,Philip LaZebnik
128,William Douglas Lansford
129,Bruce D. Arthurs
130,Marc Scott Zicree
131,Thomas Kartozian
132,Pamela Douglas
133,Timothy DeHaas
134,Randee Russell
135,Peter Allan Fields
136,Ted Roberts
137,Michel Horvat
138,Marvin V. Rush
139,Ken Schafer
140,David Livingston
141,Patrick Stewart
142,Lawrence V. Conley
143,Ron Jarvis
144,Philip A. Scorza
145,Grant Rosenberg
146,Pamela Gray
147,T. Michael
148,Adam Belanoff
149,James Kahn
150,Barry Schkolnick
151,Paul Schiffer
152,Rene Balcer
153,Paul Ruben
154,Naren Shankar
155,Gary Perconte
156,Edithe Swensen
157,Jean Louise Matthias
158,Ronald Wilkerson
159,Richard Fliegel
160,Robert Lederman
161,Morgan Gendel
162,Peter Lauritson
163,Frank Abatemarco
164,Alexander Singer
165,Allison Hock
166,Ward Botsford
167,Diana Dru Botsford
168,Adam Nimoy
169,Robert Hewitt Wolfe
170,Dan Curry
171,James E. Brooks
172,Michael Medlock
173,LeVar Burton
174,Jeanne Carrigan Fauci
175,Lisa Rich
176,Roger Eschbacher
177,Jaq Greenspon
178,Christopher Hatton
179,Nicholas Sagan
180,Dan Koeppel
181,Spike Steingasser
182,Jeanna F. Gallo
183,Gates McFadden
184,Mark Kalbfeld
185,Jonathan West